Application_mode,Course,Gender,Previous_qualification,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Tuition_fees_up_to_date,Scholarship_holder,Age_at_enrollment,Debtor,Status (Actual),PredictedStatus,Probability
2nd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,14.82857143,7,14.82857143,1,0,18,0,1,1,0.2667
1st Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,5,12.8,5,11.4,1,1,19,0,1,1,0.14
1st Phase - General Contingent,Communication Design,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.5,6,13,1,1,19,0,1,1,0.1867
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,13.67142857,7,13.67142857,1,1,18,0,1,1,0.2067
Technological Specialization Diploma Holders,Agronomy,Female,Technological Specialization Course,5,12.8,6,12.66666667,1,1,21,0,1,1,0.1
2nd Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,5,12.33333333,5,13.5,1,0,20,0,1,1,0.32
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,13.55,7,12.67,1,0,19,0,1,1,0.2133
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,15.42857143,6,14.5,1,0,20,0,1,1,0.2133
2nd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,15.3875,7,13.68571429,1,0,18,0,1,1,0.2667
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,13.775,7,13.79714286,1,1,18,0,1,1,0.2067
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,13.81285714,7,14.00375,1,1,20,0,1,1,0.2067
1st Phase - Special Contingent (Madeira Island),Management,Female,Secondary Education - 12th Year of Schooling or Eq.,4,11.4,4,12,1,1,22,0,1,1,0.22
1st Phase - General Contingent,Social Service (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,6,14.16666667,5,14.16666667,1,1,47,0,1,1,0.1267
Change of Institution/Course,Management (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,5,13.8,5,14,1,0,31,0,1,1,0.24
1st Phase - General Contingent,Communication Design,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.83333333,5,13.8,1,1,21,0,1,1,0.1867
1st Phase - General Contingent,Social Service (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,6,11.85714286,5,12.8,1,0,21,0,1,1,0.18
Over 23 Years Old,Journalism and Communication,Female,Other - 11th Year of Schooling,6,13.83333333,6,12.16666667,1,0,24,0,1,1,0.2
2nd Phase - General Contingent,Communication Design,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.33333333,6,12.5,1,0,18,0,1,1,0.2933
Over 23 Years Old,Social Service (Evening Attendance),Female,10th Year of Schooling - Not Completed,4,11.5,4,12,1,0,32,0,1,1,0.1733
3rd Phase - General Contingent,Social Service (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,6,11.5,6,10.83333333,1,1,19,0,1,1,0.1467
Over 23 Years Old,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,13.385,8,13.385,1,0,24,0,1,1,0.2067
2nd Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14.5,6,15.66666667,1,0,19,0,1,1,0.2667
Technological Specialization Diploma Holders,Agronomy,Female,Technological Specialization Course,6,13.83333333,6,14.33333333,1,1,19,1,1,1,0.1
Technological Specialization Diploma Holders,Agronomy,Female,Technological Specialization Course,5,13,6,11.42857143,1,0,24,0,1,1,0.1667
2nd Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,11.66666667,6,11.66666667,1,1,18,0,1,1,0.1933
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,14.72571429,7,14.72571429,1,1,19,0,1,1,0.2067
2nd Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.66666667,6,14.16666667,1,1,18,0,1,1,0.24
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.33333333,6,11.57142857,1,0,18,0,1,1,0.2133
2nd Phase - General Contingent,Oral Hygiene,Female,Secondary Education - 12th Year of Schooling or Eq.,8,13.1375,7,12.5,1,0,20,0,1,1,0.2267
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,12.86,8,12.86,1,0,18,0,1,1,0.2133
2nd Phase - General Contingent,Advertising and Marketing Management,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.71428571,6,12.25,1,0,18,0,1,1,0.2467
1st Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,5,12.2,4,12,1,1,21,0,1,1,0.1533
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,16.16888889,7,15.11666667,1,1,18,0,1,1,0.2067
1st Phase - General Contingent,Advertising and Marketing Management,Female,Secondary Education - 12th Year of Schooling or Eq.,4,11,4,11,1,0,19,0,1,1,0.2133
2nd Phase - General Contingent,Advertising and Marketing Management,Female,Secondary Education - 12th Year of Schooling or Eq.,4,14.6,6,11.875,1,0,18,0,1,1,0.2467
1st Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,5,13.2,5,15.2,1,0,19,0,1,1,0.2467
Change of Institution/Course,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,15.14285714,6,14.83333333,1,0,26,1,1,1,0.2533
2nd Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,5,11.8,5,11.2,1,1,18,0,1,1,0.2067
2nd Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,5,13.66666667,5,13.4,1,1,20,0,1,1,0.16
1st Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,5,16.4,5,16.2,1,0,18,0,1,1,0.3067
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,14.88181818,7,14.54285714,1,1,18,0,1,1,0.2067
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,14.35555556,7,13.69428571,1,0,19,0,1,1,0.2133
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,11.85714286,6,11.28571429,1,1,18,0,1,1,0.14
2nd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.08333333,6,11.75714286,1,0,20,0,1,1,0.2667
Transfer,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,13.05857143,7,13.05857143,1,1,19,0,1,1,0.2
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,14.05555556,7,14.3,1,0,19,0,1,1,0.2133
Change of Course,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,8,12,5,11.8,1,0,19,0,1,1,0.34
1st Phase - Special Contingent (Azores Island),Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,3,13,3,10.33333333,1,0,19,0,1,1,0.2533
1st Phase - General Contingent,Tourism,Female,Secondary Education - 12th Year of Schooling or Eq.,3,11.66666667,6,10.57142857,1,0,18,0,1,1,0.22
Change of Course,Nursing,Female,Frequency of Higher Education,6,13.33333333,6,13.33333333,1,0,19,0,1,1,0.1867
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,5,11,6,11.85714286,1,0,18,1,1,1,0.2133
1st Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,5,11.4,5,12.6,1,0,18,0,1,1,0.26
1st Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,5,11.6,5,14,1,0,18,0,1,1,0.2467
1st Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.66666667,5,12,1,0,18,0,1,1,0.26
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13,6,12,1,0,20,0,1,1,0.2133
1st Phase - General Contingent,Social Service (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,6,11.66666667,6,12.66666667,1,0,19,0,1,1,0.18
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.66666667,6,12.16666667,1,1,18,0,1,1,0.14
Technological Specialization Diploma Holders,Social Service,Female,Technological Specialization Course,6,14.66666667,6,13.33333333,1,0,19,0,1,1,0.1933
Holders of Other Higher Courses,Basic Education,Female,Higher Education - Degree (1st Cycle),7,14.57142857,7,15,1,0,40,1,1,1,0.2667
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,13.39125,8,13.39125,1,1,18,0,1,1,0.2067
2nd Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.42857143,5,12.16666667,1,0,19,0,1,1,0.3
2nd Phase - General Contingent,Equinculture,Female,Secondary Education - 12th Year of Schooling or Eq.,4,12.5,4,11.25,1,0,18,0,1,1,0.3267
1st Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,3,12,4,12,1,0,19,0,1,1,0.2467
Over 23 Years Old,Social Service (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.85714286,6,12.83333333,1,0,33,0,1,1,0.18
Over 23 Years Old,Agronomy,Female,Higher Education - Degree,6,13.1,6,14,1,0,35,0,1,1,0.1467
Transfer,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,2,12,4,13,1,0,26,0,1,1,0.4533
1st Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.5,6,13.5,1,0,18,0,1,1,0.2267
Change of Course,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,9,12.30769231,13,10.69230769,1,0,36,0,1,1,0.2067
Over 23 Years Old,Management (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,5,11.66666667,5,11,1,0,39,0,1,1,0.2067
Over 23 Years Old,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.83333333,6,13,1,0,44,0,1,1,0.22
1st Phase - General Contingent,Social Service (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,4,11.25,5,12,1,0,20,0,1,1,0.18
Change of Course,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.33333333,6,13.66666667,1,1,20,0,1,1,0.1267
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14.2,6,14.2,1,1,18,1,1,1,0.2067
2nd Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,6,16.42857143,6,15,1,0,18,0,1,1,0.2667
Over 23 Years Old,Nursing,Female,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,7,13.44285714,6,12.58571429,1,0,24,0,1,1,0.18
Over 23 Years Old,Agronomy,Female,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,1,30,1,1,1,0.4
2nd Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,6,11.83333333,6,11.66666667,1,0,18,0,1,1,0.2733
2nd Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,4,11,3,10.33333333,1,0,20,0,1,1,0.34
Short Cycle Diploma Holders,Veterinary Nursing,Female,Professional Higher Technical Course,7,13.71428571,8,13.5,1,1,22,0,1,1,0.18
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,5,13.98,5,13.98,1,0,19,0,1,1,0.2133
1st Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,6,15.75,6,16.15384615,1,1,21,0,1,1,0.1533
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14.03333333,6,14.03333333,1,1,21,0,1,1,0.2067
2nd Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,5,11.2,1,11,1,0,19,0,1,1,0.26
1st Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.66666667,7,13.85714286,1,1,19,0,1,1,0.1533
Change of Course,Social Service (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,7,13.57142857,11,13.54545455,1,0,50,0,1,1,0.2
Over 23 Years Old,Management (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,4,10.83333333,4,11.25,1,1,31,0,1,1,0.1733
2nd Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14.42857143,6,13.83333333,1,1,19,0,1,1,0.24
Over 23 Years Old,Management (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,5,12.85714286,5,12,1,0,35,0,1,1,0.2067
Change of Institution/Course,Social Service (Evening Attendance),Female,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,10,12.8,10,11.9,1,0,42,1,1,1,0.2
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,15.2875,7,15.13571429,1,1,18,0,1,1,0.2067
2nd Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.33333333,7,12.28571429,0,1,18,0,1,1,0.16
Technological Specialization Diploma Holders,Veterinary Nursing,Female,Technological Specialization Course,2,13.5,5,12.66666667,1,0,21,0,1,1,0.2
Change of Course,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,13.75,6,13.25,1,0,20,0,1,1,0.16
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,3,10.33333333,3,10.33333333,1,0,19,0,1,1,0.2133
1st Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.16666667,6,13.42857143,1,1,19,0,1,1,0.1533
Short Cycle Diploma Holders,Management,Female,Professional Higher Technical Course,8,11.11111111,9,12.55555556,1,0,20,0,1,1,0.2867
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,11.16666667,6,11.5,1,0,19,0,1,1,0.2133
1st Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.33333333,6,13.66666667,1,0,18,0,1,1,0.26
Over 23 Years Old,Management (Evening Attendance),Female,Higher Education - Degree,10,12,11,11.27272727,1,0,28,0,1,1,0.2333
2nd Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,5,12.4,5,13.16666667,1,0,22,0,1,1,0.2733
Technological Specialization Diploma Holders,Social Service (Evening Attendance),Female,Technological Specialization Course,6,14.16666667,6,14.66666667,1,1,21,0,1,1,0.1067
Technological Specialization Diploma Holders,Veterinary Nursing,Female,Technological Specialization Course,1,11,4,12.75,1,0,21,0,1,1,0.2133
Over 23 Years Old,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,5,12.14,5,11.2,1,0,26,0,1,1,0.2067
2nd Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14,6,14.85714286,1,0,18,0,1,1,0.2667
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,12.86,7,12.86,1,1,19,0,1,1,0.2067
Change of Institution/Course,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,11,12,11,11.72727273,1,0,20,0,1,1,0.2533
Technological Specialization Diploma Holders,Veterinary Nursing,Female,Technological Specialization Course,3,12,6,13.14285714,1,1,22,0,1,1,0.1133
2nd Phase - General Contingent,Communication Design,Female,Secondary Education - 12th Year of Schooling or Eq.,4,11.2,5,11.6,1,1,18,0,1,1,0.2133
2nd Phase - General Contingent,Tourism,Female,Secondary Education - 12th Year of Schooling or Eq.,3,10.33333333,3,10.33333333,1,0,20,0,1,1,0.2467
1st Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,3,11,4,12.25,1,0,19,0,1,1,0.2267
1st Phase - General Contingent,Tourism,Female,Secondary Education - 12th Year of Schooling or Eq.,4,12.75,6,12,1,0,19,0,1,1,0.2267
2nd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,14.73142857,7,14.73142857,1,0,19,0,1,1,0.2667
1st Phase - General Contingent,Animation and Multimedia Design,Female,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,0,18,0,1,0,0.5867
Holders of Other Higher Courses,Communication Design,Female,Higher Education - Degree (1st Cycle),12,14.25,13,13.61538462,1,0,21,0,1,1,0.28
Over 23 Years Old,Management (Evening Attendance),Female,Higher Education - Degree (1st Cycle),5,14.8,5,15.8,1,0,27,0,1,1,0.2133
2nd Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14.57142857,6,14.66666667,1,0,19,0,1,1,0.3
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,14.65428571,7,14.65428571,1,1,18,0,1,1,0.2067
Over 23 Years Old,Nursing,Female,Higher Education - Degree,7,12.40142857,7,12.40142857,1,0,24,0,1,1,0.16
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,14.07142857,7,11.5875,1,0,20,0,1,1,0.2133
Holders of Other Higher Courses,Management (Evening Attendance),Female,Higher Education - Degree (1st Cycle),5,15.6,5,14,1,0,26,0,1,1,0.2667
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,11.83333333,6,12.33333333,1,1,20,0,1,1,0.14
1st Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,5,15.4,5,14,1,0,18,0,1,1,0.2467
1st Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.375,6,15.23076923,1,0,19,0,1,1,0.2467
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,6,11.6,6,11.6,1,1,18,0,1,1,0.2067
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,13.09444444,7,12.90142857,1,1,19,0,1,1,0.2067
Transfer,Management (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,5,14.8,7,14.14285714,1,0,30,0,1,1,0.3067
